cluster_2	new_type	feature	cluster	type
11	Unknown	to educate and train	1	education
11	Unknown	education and training utilize	1	education
11	Unknown	or equivalent education training	1	education
11	Unknown	educational training functions and	1	education
11	Unknown	educational training functions	1	education
11	Unknown	business educating and training	1	education
11	Unknown	education training	1	education
11	Unknown	educating and training veterinary	1	education
11	Unknown	educating and training	1	education
11	Unknown	education and training	1	education
11	Unknown	additional education and training	1	education
11	Unknown	agencies educates trains	1	education
11	Unknown	advice education and training	1	education
11	Unknown	agencies educates trains and	1	education
11	Unknown	minimum education technical training	1	education
11	Unknown	equivalent education training and	1	education
11	Unknown	equivalent education training	1	education
11	Unknown	job training education and	1	education
11	Unknown	job training education	1	education
11	Unknown	education and training qualifications	1	education
11	Unknown	year training educating	1	education
11	Unknown	stress training education motivation	1	education
11	Unknown	educational training	1	education
11	Unknown	training and education including	1	education
11	Unknown	training educational and background	1	education
11	Unknown	training or education	1	education
11	Unknown	training educating presenting or	1	education
11	Unknown	offer job training education	1	education
11	Unknown	training or education required	1	education
11	Unknown	training education and career	1	education
11	Unknown	training education high	1	education
11	Unknown	training education motivation	1	education
11	Unknown	training education motivation recognition	1	education
11	Unknown	training education and materials	1	education
11	Unknown	training educating presenting	1	education
11	Unknown	training educational and	1	education
11	Unknown	training educating	1	education
11	Unknown	training educational	1	education
11	Unknown	licensure education and training	1	education
11	Unknown	we stress training education	1	education
11	Unknown	years training and education	1	education
11	Unknown	support educates trains	1	education
11	Unknown	sales employees education training	1	education
11	Unknown	opportunities qualifications education training	1	education
11	Unknown	agency support educates trains	1	education
11	Unknown	lines qualifications education training	1	education
11	Unknown	new agencies educates trains	1	education
10	Unknown	non manager education high	1	education
10	Unknown	non manager education	1	education
10	Unknown	non manager education required	1	education
10	Unknown	materials inventory management educational	1	education
10	Unknown	wealth management tools educate	1	education
10	Unknown	relationship management educate clients	1	education
10	Unknown	relationship management educate	1	education
10	Unknown	talented automotive education managers	1	education
10	Unknown	manager education	1	education
10	Unknown	education managers	1	education
10	Unknown	management developments education	1	education
10	Unknown	automotive education managers	1	education
10	Unknown	education programs manage small	1	education
10	Unknown	education programs manage	1	education
10	Unknown	sales management developments education	1	education
10	Unknown	experienced non manager education	1	education
10	Unknown	management developments education and	1	education
10	Unknown	education administration planning manages	1	education
10	Unknown	operations management education	1	education
10	Unknown	operations management education bachelors	1	education
10	Unknown	manager education high	1	education
10	Unknown	inventory management educational training	1	education
10	Unknown	management education bachelors	1	education
10	Unknown	inventory management educational	1	education
10	Unknown	and operations management education	1	education
10	Unknown	management educational training functions	1	education
10	Unknown	management educational training	1	education
10	Unknown	management educational	1	education
10	Unknown	management educate clients on	1	education
10	Unknown	management education	1	education
10	Unknown	management educate	1	education
10	Unknown	management tools educate clients	1	education
10	Unknown	manager education required high	1	education
10	Unknown	managers primary responsibilities educate	1	education
10	Unknown	management educate clients	1	education
10	Unknown	following relationship management educate	1	education
10	Unknown	management tools educate	1	education
10	Unknown	management serves as educational	1	education
10	Unknown	manager education required	1	education
9	Unknown	qualifying educational requirements and	1	education
9	Unknown	qualifying educational requirements	1	education
9	Unknown	view qualifying educational requirements	1	education
8	Unknown	educating health care providers	1	education
8	Unknown	educating healthcare providers	1	education
8	Unknown	providing education	1	education
8	Unknown	educating healthcare providers as	1	education
8	Unknown	condition provide education local	1	education
8	Unknown	to provide education	1	education
8	Unknown	education managers provide	1	education
8	Unknown	provides ongoing education	1	education
8	Unknown	condition provide education	1	education
8	Unknown	automotive education managers provide	1	education
8	Unknown	provides ongoing education to	1	education
8	Unknown	providing education and	1	education
8	Unknown	provide education local	1	education
8	Unknown	provide education and	1	education
8	Unknown	provide education local resource	1	education
8	Unknown	opportunities provides ongoing education	1	education
8	Unknown	acute condition provide education	1	education
8	Unknown	provided education	1	education
8	Unknown	provided education sales programs	1	education
8	Unknown	provide education and training	1	education
8	Unknown	to provide education and	1	education
8	Unknown	manufacturer provided education	1	education
8	Unknown	manufacturer provided education sales	1	education
8	Unknown	manufacturers to provide education	1	education
8	Unknown	provided education sales	1	education
8	Unknown	through manufacturer provided education	1	education
8	Unknown	relocation provided none education	1	education
8	Unknown	education managers provide one	1	education
8	Unknown	provides training education and	1	education
8	Unknown	participant providing education	1	education
8	Unknown	provide education tailored to	1	education
8	Unknown	participant providing education and	1	education
8	Unknown	field provides training education	1	education
8	Unknown	of educating healthcare providers	1	education
8	Unknown	provide education	1	education
8	Unknown	by providing welcoming educational	1	education
8	Unknown	by providing education	1	education
8	Unknown	referrals provides ongoing education	1	education
8	Unknown	team to provide education	1	education
8	Unknown	providing training and education	1	education
8	Unknown	the participant providing education	1	education
8	Unknown	provide education tailored	1	education
8	Unknown	by providing education and	1	education
8	Unknown	provide training and education	1	education
8	Unknown	providing education and support	1	education
8	Unknown	solutions by providing education	1	education
8	Unknown	provided none education required	1	education
8	Unknown	to provide education tailored	1	education
8	Unknown	providing welcoming educational	1	education
8	Unknown	providing education and guidance	1	education
8	Unknown	providing welcoming educational wine	1	education
8	Unknown	provides training education	1	education
8	Unknown	provides information and education	1	education
8	Unknown	provide sound recommendations education	1	education
8	Unknown	provided none education	1	education
7	Unknown	office products education	1	education
7	Unknown	products while educating them	1	education
7	Unknown	office products education and	1	education
7	Unknown	support unum product education	1	education
7	Unknown	appropriate products while educating	1	education
7	Unknown	products while educating	1	education
7	Unknown	our products and educating	1	education
7	Unknown	education on product	1	education
7	Unknown	education on product and	1	education
7	Unknown	all products to educate	1	education
7	Unknown	products and educating our	1	education
7	Unknown	products and educating	1	education
7	Unknown	product education	1	education
7	Unknown	production highest education	1	education
7	Unknown	educating guests about products	1	education
7	Unknown	product education programs manage	1	education
7	Unknown	products to educate	1	education
7	Unknown	product education programs	1	education
7	Unknown	and education on product	1	education
7	Unknown	beverage production highest education	1	education
7	Unknown	unum product education	1	education
7	Unknown	unum product education programs	1	education
7	Unknown	microsoft office products education	1	education
7	Unknown	products education and years	1	education
7	Unknown	products education	1	education
7	Unknown	products education and	1	education
7	Unknown	products thinking and education	1	education
7	Unknown	production highest education high	1	education
7	Unknown	product lines qualifications education	1	education
6	Unknown	and engaging manner educate	1	education
6	Unknown	competitors educate and engage	1	education
6	Unknown	educating and engaging guests	1	education
6	Unknown	educating and engaging	1	education
6	Unknown	outreach initiatives engage educate	1	education
6	Unknown	role engages educates and	1	education
6	Unknown	this role engages educates	1	education
6	Unknown	by educating and engaging	1	education
6	Unknown	initiatives engage educate	1	education
6	Unknown	initiatives engage educate excite	1	education
6	Unknown	role engages educates	1	education
6	Unknown	educate and engage	1	education
6	Unknown	features educating and engaging	1	education
6	Unknown	engage educate	1	education
6	Unknown	engage educate excite and	1	education
6	Unknown	engage educate excite	1	education
6	Unknown	engages educates	1	education
6	Unknown	engages educates and assists	1	education
6	Unknown	engages educates and	1	education
6	Unknown	engaging manner educate	1	education
5	bachelor,degree	education degree ged and	1	education
5	bachelor,degree	hours education associate degree	1	education
5	bachelor,degree	qualifications education bachelor degree	1	education
5	bachelor,degree	education bachelor degree job	1	education
5	bachelor,degree	education education associate degree	1	education
