cluster_2	new_type	feature	cluster	type
11	Unknown	objectives maintain knowledge	6	knowledge
11	Unknown	organization maintains knowledge	6	knowledge
11	Unknown	training maintain knowledge of	6	knowledge
11	Unknown	training maintain knowledge	6	knowledge
11	Unknown	organization maintains knowledge of	6	knowledge
11	Unknown	knowledge maintain shelf	6	knowledge
11	Unknown	_required_ maintain working knowledge	6	knowledge
11	Unknown	goals maintain sound knowledge	6	knowledge
11	Unknown	gain and maintain knowledge	6	knowledge
11	Unknown	business category knowledge maintaining	6	knowledge
11	Unknown	brand knowledge maintain shelf	6	knowledge
11	Unknown	brand knowledge maintain	6	knowledge
11	Unknown	jewelry maintaining knowledge of	6	knowledge
11	Unknown	jewelry maintaining knowledge	6	knowledge
11	Unknown	knowledge and maintain	6	knowledge
11	Unknown	including maintaining general knowledge	6	knowledge
11	Unknown	needs maintain broad knowledge	6	knowledge
11	Unknown	guidelines maintain knowledge	6	knowledge
11	Unknown	knowledge and maintain good	6	knowledge
11	Unknown	and brand knowledge maintain	6	knowledge
11	Unknown	and descriptions maintains knowledge	6	knowledge
11	Unknown	management maintains knowledge of	6	knowledge
11	Unknown	management maintains knowledge	6	knowledge
11	Unknown	fine jewelry maintaining knowledge	6	knowledge
11	Unknown	maintain technical knowledge	6	knowledge
11	Unknown	maintaining general knowledge	6	knowledge
11	Unknown	maintains knowledge	6	knowledge
11	Unknown	clarification maintain broad knowledge	6	knowledge
11	Unknown	americas regiond maintain knowledge	6	knowledge
11	Unknown	category knowledge maintaining and	6	knowledge
11	Unknown	category knowledge maintaining	6	knowledge
11	Unknown	learn and maintain knowledge	6	knowledge
11	Unknown	appointments maintain strong knowledge	6	knowledge
11	Unknown	transactions maintain knowledge	6	knowledge
11	Unknown	counts maintain knowledge	6	knowledge
11	Unknown	maintain broad knowledge	6	knowledge
11	Unknown	maintain professional knowledge	6	knowledge
11	Unknown	maintains strong knowledge	6	knowledge
11	Unknown	maintain thorough knowledge	6	knowledge
11	Unknown	manager maintain technical knowledge	6	knowledge
11	Unknown	maintaining sound knowledge	6	knowledge
11	Unknown	knowledge expert maintain	6	knowledge
11	Unknown	and transactions maintain knowledge	6	knowledge
11	Unknown	transactions maintain knowledge of	6	knowledge
11	Unknown	and maintain professional knowledge	6	knowledge
11	Unknown	and maintain thorough knowledge	6	knowledge
11	Unknown	and maintain working knowledge	6	knowledge
11	Unknown	cycle counts maintain knowledge	6	knowledge
11	Unknown	counts maintain knowledge of	6	knowledge
11	Unknown	list maintains strong knowledge	6	knowledge
11	Unknown	maintain professional knowledge assist	6	knowledge
11	Unknown	maintain knowledge of up	6	knowledge
11	Unknown	maintain thorough knowledge of	6	knowledge
11	Unknown	maintain broad knowledge of	6	knowledge
11	Unknown	maintaining sound knowledge of	6	knowledge
11	Unknown	maintains knowledge of banking	6	knowledge
11	Unknown	maintains strong knowledge regarding	6	knowledge
11	Unknown	company objectives maintain knowledge	6	knowledge
11	Unknown	company guidelines maintain knowledge	6	knowledge
11	Unknown	customer organization maintains knowledge	6	knowledge
11	Unknown	maintain strong knowledge	6	knowledge
11	Unknown	maintaining knowledge	6	knowledge
11	Unknown	goals maintain strong knowledge	6	knowledge
11	Unknown	maintains substantial knowledge of	6	knowledge
11	Unknown	information by maintaining knowledge	6	knowledge
11	Unknown	requested maintains substantial knowledge	6	knowledge
11	Unknown	by maintaining knowledge of	6	knowledge
11	Unknown	maintains knowledge of	6	knowledge
11	Unknown	maintains substantial knowledge	6	knowledge
11	Unknown	by maintaining knowledge	6	knowledge
11	Unknown	maintain working knowledge	6	knowledge
11	Unknown	maintain knowledge of	6	knowledge
11	Unknown	maintain knowledge	6	knowledge
